전체 번호,등급별 번호,등급,분류,대표형,관련형,의미,국제통용 (2단계),문법.표현 교육내용개발(1-4단계),메모(20201030 수정)
1,1,1급,조사,이,가,,초급,초급,
2,2,1급,조사,과,와,,초급,초급,
3,3,1급,조사,까지,,부터/까지,초급,초급,
4,4,1급,조사,께서,,,초급,초급,
5,5,1급,조사,은1,"는1, ㄴ1",대조,초급,초급,
6,6,1급,조사,도,,,초급,초급,
7,7,1급,조사,을1,"를, ㄹ1",,초급,초급,
8,8,1급,조사,이랑,랑,,초급,초급,
9,9,1급,조사,으로,로,,초급,초급,
10,10,1급,조사,부터,에서부터(서부터),,초급,초급,
11,11,1급,조사,에,"다가, 에다가(에다)",,초급,초급,
12,12,1급,조사,에게,"에게로, 에게서",,초급,초급,
13,13,1급,조사,에서,서2,,초급,초급,
14,14,1급,조사,의,,,초급,초급,
15,15,1급,조사,하고,,,초급,초급,
16,16,1급,조사,만,,단독,초급,초급,
17,17,1급,조사,이다,,지정사,초급,초급,
18,18,1급,조사,한테,,,중급,초급,
19,19,1급,조사,보다,,,초급,초급,
20,20,1급,선어말어미,-겠-,,,초급,초급,
21,21,1급,선어말어미,-었-,"-았-, -였-",,초급,초급,
22,22,1급,선어말어미,-으시-,-시-,,초급,초급,
23,23,1급,연결어미,-고3,,나열,초급,초급,
24,24,1급,연결어미,-으니까,-니까,,초급,초급,
25,25,1급,연결어미,-으러,-러,,초급,초급,
26,26,1급,연결어미,-어서,"-아서, -여서, -어2, -아2, -여1, -라서, -라4",,초급,초급,
27,27,1급,연결어미,-지만,,,초급,초급,
28,28,1급,연결어미,-으려고1,"-려고1, 으려, 려",의도,중급,초급,
29,29,1급,종결어미,-습니까,-ㅂ니까,,초급,초급,
30,30,1급,종결어미,-습니다,-ㅂ니다,,초급,초급,
31,31,1급,종결어미,-읍시다,-ㅂ시다,,초급,초급,
32,32,1급,종결어미,-으세요,"-세요. -으셔요, -셔요, -으시어요, -시어요",,초급,초급,
33,33,1급,종결어미,-으십시오,-십시오,,초급,초급,
34,34,1급,종결어미,-고4,-고요,덧붙여 서술,중급,초급,
35,35,1급,종결어미,-을까,"-ㄹ까, 을까요, -ㄹ까요",,초급,초급,
36,36,1급,종결어미,-어2,"-아2, -여2, -야3, -어요, -아요, -여요, -에요",,초급,초급,
37,37,1급,표현,이 아니다,가 아니다,,초급,초급,
38,38,1급,표현,-고 싶다,,,초급,초급,
39,39,1급,표현,-고 있다,,,초급,초급,
40,40,1급,표현,-어야 되다,"-아야 되다, -여야 되다, <유의> -어야 하다, -아야 하다, -어야 하다",,초급,초급,
41,41,1급,표현,-지 않다,,,초급,초급,
42,42,1급,표현,-을 수 있다,"-ㄹ 수 있다, <반의> -ㄹ 수 없다, -을 수 없다",,,초급,
43,43,1급,표현,-지 못하다,,,초급,초급,
44,44,1급,표현,-기 전에,-기 전,,초급,초급,
45,45,1급,표현,-은 후에,"-은 후, -ㄴ 후, <유의> -은 뒤에, -ㄴ 뒤에, -은 뒤, -ㄴ 뒤",,초급,초급,
46,1,2급,조사,께,,,초급,초급,
47,2,2급,조사,마다,,,초급,초급,
48,3,2급,조사,밖에,,,초급,초급,
49,4,2급,조사,처럼,,,초급,초급,
50,5,2급,조사,에서부터(서부터),,,,초급,
51,6,2급,조사,에다가,에다,,,초급,
52,7,2급,조사,에게로,,,,초급,
53,8,2급,조사,에게서,,,,초급,
54,9,2급,조사,한테서,,,,초급,
55,10,2급,조사,이나,나1,,초급,초급,
56,11,2급,연결어미,-거나,,,초급,초급,
57,12,2급,연결어미,-는데1,"-은데1, -ㄴ데1","대립, 배경",초급,초급,
58,13,2급,연결어미,-으면,-면,가정,초급,초급,
59,14,2급,연결어미,-으면서,-면서,,초급,초급,
60,15,2급,연결어미,-게2,,목적,초급,초급,
61,16,2급,연결어미,-다가1(1),"-다5, 다가도",중단,중급,초급,
62,17,2급,전성어미,-기,,명사형,초급,초급,
63,18,2급,전성어미,-는2,"-은3, -ㄴ3",관형사형(현재),초급,초급,
64,19,2급,전성어미,-은2,-ㄴ4,관형사형(과거),초급,초급,
65,20,2급,전성어미,-을2,-ㄹ2,관형사형,초급,초급,
66,21,2급,전성어미,-은3,,,,초급,
67,22,2급,전성어미,-음,-ㅁ,명사형,초급,초급,
68,23,2급,종결어미,-는군,"-군, -는군요, -군요",,초급,초급,
69,24,2급,종결어미,-을게,"-ㄹ게, 을게요, -ㄹ게요",,초급,초급,
70,25,2급,종결어미,-지,-지요(-죠),"서술, 물음, 명령, 요청",초급,초급,
71,26,2급,종결어미,-는데2,"-ㄴ데2, -은데2, -는데요, -ㄴ데요, -은데요",감탄,초급,초급,
72,27,2급,종결어미,-네,-네요,감탄,중급,초급,
73,28,2급,종결어미,-을래,"-을래요, -ㄹ래요",,고급,초급,
74,29,2급,표현,-게 되다,,,초급,초급,
75,30,2급,표현,-기 때문에,-기 때문이다,,초급,초급,
76,31,2급,표현,-기로 하다,,,초급,초급,
77,32,2급,표현,-는 것 같다,"-ㄴ 것 같다, -은 것 같다, -ㄹ 것 같다, -을 것 같다",,초급,초급,
