Word,Level,길잡이말,품사,Word_Number
가게,초급,에 가다,명사,
가격,초급,이 비싸다,명사,03
가구,초급,책상,명사,04
가깝다,초급,거리가,형용사,
가끔,초급,가끔 보다,부사,
가늘다,초급,손가락이,형용사,
가다,초급,학교에,동사,01
가득,초급,가득 담다,부사,01
가르치다,초급,한국어를,동사,01
가리키다,초급,손가락으로,동사,01
가방,초급,을 메다,명사,01
가볍다,초급,짐이,형용사,
가수,초급,직업,명사,11
가슴,초급,신체,명사,01
가요,초급,를 부르다,명사,02
가운데,초급,가운데 자리,명사,
가위,초급,로 자르다,명사,01
가을,초급,계절,명사,01
가장,초급,가장 빠르다,부사,01
가져가다,초급,집에,동사,
가져오다,초급,학교로,동사,
가족,초급,식구,명사,01
가지,초급,몇,의존명사,04
가지다,초급,돈을,동사,
각각,초급,각각 다르다,부사/명사,01
간단하다,초급,간단한 설명,형용사,02
간단히,초급,간단히 끝내다,부사,
간식,초급,을 먹다,명사,02
간장,초급,을 넣다,명사,01
간호사,초급,로 일하다,명사,
갈비,초급,를 먹다,명사,01
갈비탕,초급,을 먹다,명사,
갈색,초급,색깔,명사,
갈아입다,초급,옷을,동사,
갈아타다,초급,기차를,동사,
감,초급,과일,명사,01
감기,초급,에 걸리다,명사,04
감기약,초급,을 먹다,명사,
감다,초급,눈을,동사,01
감다,초급,머리를,동사,02
감사,초급,감사 인사,명사,08
감자,초급,채소,명사,01
갑자기,초급,갑자기 나타나다,부사,
값,초급,을 깎다,명사,
강,초급,을 건너다,명사,01
강아지,초급,를 키우다,명사,
강하다,초급,힘이,형용사,02
갖다,초급,돈을,동사,01
같다,초급,서로 같다,형용사,
같이,초급,같이 살다,부사,
갚다,초급,돈을,동사,
개,초급,동물,명사,03
개,초급,한 개,의존명사,10
개월,초급,삼 개월,의존명사,
거,초급,것,의존명사,01
거기,초급,거기에 있다,대명사,01
거리,초급,로 나가다,명사,01
거리,초급,가 가깝다,명사,08
거실,초급,집,명사,02
거울,초급,을 보다,명사,01
거의,초급,거의 없다,부사/명사,01
거절,초급,을 하다,명사,01
거짓말,초급,을 하다,명사,
걱정,초급,이 되다,명사,
건강,초급,이 나빠지다,명사,03
건너가다,초급,길을,동사,
건너다,초급,길을,동사,
건너편,초급,으로 가다,명사,
건물,초급,을 짓다,명사,03
걷다,초급,길을,동사,02
걸다,초급,그림을,동사,02
걸리다,초급,그림이,동사,01
걸어가다,초급,학교에,동사,
걸어오다,초급,집에,동사,01
걸음,초급,이 느리다,명사,
검사,초급,숙제 검사,명사,03
검은색,초급,색깔,명사,
검정,초급,색깔,명사,01
것,초급,먹을 것,의존명사,01
겉,초급,안과 겉,명사,01
게으르다,초급,사람이,형용사,
게임,초급,컴퓨터 게임,명사,
겨울,초급,계절,명사,
결과,초급,가 나오다,명사,02
결석,초급,을 하다,명사,01
결심,초급,을 하다,명사,01
결정,초급,을 내리다,명사,01
결혼,초급,을 하다,명사,
결혼식,초급,을 올리다,명사,
경기,초급,를 보다,명사,11
경찰,초급,경찰 조사(기관),명사,04
경찰서,초급,에 신고하다,명사,
경치,초급,가 좋다,명사,02
경험,초급,을 쌓다,명사,
계단,초급,을 오르다,명사,04
계란,초급,을 먹다,명사,
계산,초급,이 정확하다,명사,01
계속,초급,계속 달리다,부사/명사,04
계시다,초급,한국에,동사,
