Word,Level,Guideword,Part of Speech,Topic
' 20,B2,,phrase,
' 30,B2,,phrase,
' 40,B2,,phrase,
' 50,B2,,phrase,
' 60,B2,,phrase,
' 70,B2,,phrase,
' 80,B2,,phrase,
' 90,B2,,phrase,
's,C2,,phrase,
's attention,C2,,phrase,
's bed,B2,,phrase,
's benefit,C2,,phrase,
's breadth of experience,C2,,phrase,
's call,B1,,phrase,
's clutch,C2,,phrase,
's fault,B1,,phrase,
's finance,B2,,phrase,money
's good,C2,,phrase,
's heart,C2,,phrase,
's look,C2,,phrase,people: appearance
's past,B1,,phrase,
's prospect,B2,,phrase,
's rescue,C2,,phrase,
's rise to fame,C2,,phrase,
's sake,B2,,phrase,
's strong point,C1,,phrase,people: personality
's travel,C1,,phrase,
's way of life,B1,,phrase,
's whereabouts,C2,,phrase,
's youth,B2,,phrase,people: appearance
10,C2,,phrase,
10 foot wide,B1,,phrase,
100,C1,,phrase,
12,C2,,phrase,
17,C2,,phrase,
2,B1,,phrase,
20,B2,,phrase,people: appearance
20 month,C2,,phrase,
200,C2,,phrase,
21,C1,,phrase,
25,C2,,phrase,
3,B1,,phrase,
30,B2,,phrase,people: appearance
30 mile,C2,,phrase,
4 foot deep,B2,,phrase,describing things
4 o'clock in the morning,B1,,phrase,
40,B2,,phrase,people: appearance
5 mile,B1,,phrase,
50,B2,,phrase,people: appearance
57,C1,,phrase,
6 inch,B2,,phrase,describing things
60,B2,,phrase,people: appearance
630 pm onward,C1,,phrase,
70,B2,,phrase,people: appearance
80,B2,,phrase,people: appearance
90,B2,,phrase,people: appearance
I,A1,,pronoun,
I be afraid,A2,,phrase,communication
I be spanish,A1,,phrase,
I bet,B1,,phrase,communication
I can not tell you how,B1,,phrase,communication
I do not blame he,C2,,phrase,communication
I do not mind,A2,,phrase,communication
I fail to see,C2,,phrase,communication
I forget,C2,,phrase,
I guess,B1,,phrase,communication
I guess so,B2,,phrase,communication
I know,B1,,phrase,
I mean,A2,,phrase,communication
I only hope,B2,,phrase,communication
I only wish,B2,,phrase,communication
I suppose,A2,,phrase,communication
I take it,C2,,phrase,
I tell you so,C2,,phrase,communication
I trust,C1,,phrase,
I will,C1,,phrase,communication
a,A1,NOT PARTICULAR,determiner,
a bad,B2,,phrase,people: personality
a balanced diet,B2,,phrase,"describing things, food and drink"
a bit,A2,,phrase,describing things
a bit of a surprise,C1,,phrase,
a bite,C2,,phrase,food and drink
a bone of contention,C2,IDIOM,phrase,
a book,B1,,phrase,people: personality
a book of stamp,C2,,phrase,
a break arm,A2,,phrase,body and health
a breath of fresh air,C2,IDIOM,phrase,describing things
a broad range,B1,,phrase,
a broken heart,B2,,phrase,"people: personality, relationships"
a broken home,C2,,phrase,relationships
a bundle of energy,C2,,phrase,people: personality
a burning issue,C1,,phrase,
a call for,C1,,phrase,communication
a certain,B2,,phrase,
a change of clothe,A2,,phrase,clothes
a change of heart,C2,IDIOM,phrase,
a clap of thunder,C2,,phrase,
a conflict of interest,C2,,phrase,
a conscious decision,C2,,phrase,
a dance,A2,,phrase,education
a deep sleep,B2,,phrase,
a dim memory,C2,,phrase,
a disgrace,B2,,phrase,
a disgrace to,C2,,phrase,
a display of affection,C2,,phrase,people: personality
a dose of,B2,,phrase,
a double - edged sword,C2,IDIOM,phrase,
a downward spiral,C2,,phrase,
a drain on,C2,,phrase,
a drop in the ocean,C2,IDIOM,phrase,
a fair amount,C2,,phrase,
a fair chance,C2,,phrase,
a far cry from,C1,IDIOM,phrase,
a faraway look,C2,,phrase,
a fast track,C2,IDIOM,phrase,
a few,A2,,phrase,describing things
a fine line,C1,IDIOM,phrase,
a first,C2,,phrase,
a flight of stair,C2,,phrase,
a force to reckon with,C2,,phrase,
a free hand,C2,IDIOM,phrase,
a further 10,C1,,phrase,
a good,B2,,phrase,describing things
a good 20 minute,C2,,phrase,
a good deal,C1,,phrase,describing things
a good time,A2,,phrase,
a great deal,B2,,phrase,describing things
a hand,B1,,phrase,
a handful of,B2,,phrase,describing things
a handsome profit,C2,,phrase,
a hint of,C2,,phrase,
a history of,C1,,phrase,body and health
a hold on,C2,,phrase,
a horror film,B1,,phrase,arts and media
a host of,C1,,phrase,
a hot issue,C1,,phrase,
a joke,C1,,phrase,
a labor of love,C2,IDIOM,phrase,
a last resort,C2,,phrase,
a little,B1,,phrase,
a little bit,A2,,phrase,describing things
a load of,B1,,phrase,describing things
a lot,A1,,phrase,describing things
a lot of,C2,,phrase,
a mark of,C2,,phrase,
a mass of,B2,,phrase,describing things
a matter of confidence,C2,,phrase,
a matter of course,C1,,phrase,
a matter of day,C2,,phrase,
a matter of life and death,C2,,phrase,
a means to an end,C2,,phrase,
a measure of,C2,,phrase,
a narrow escape,C2,,phrase,
a nest egg,C2,IDIOM,phrase,
a nice person,B1,,phrase,people: personality
a number of,B2,,phrase,
a pain,B2,IDIOM,phrase,
a pain in the neck,C1,IDIOM,phrase,
a passion for,C1,,phrase,
a passport to,C2,,phrase,
a piece of cake,B2,IDIOM,phrase,
a pile of,B2,,phrase,describing things
a pity,A2,,phrase,communication
a plethora of,C2,,phrase,
a problem,A2,,phrase,
a profound effect,C2,,phrase,
a public announcement,C2,,phrase,
a question of,C1,,phrase,
a quick,B1,,phrase,work
a rarity,C1,,phrase,
a reflection of,C1,,phrase,
a revelation,C2,,phrase,
a riot of,C2,,phrase,
