Base Word,Guideword,Level,Part of Speech,Topic
a,NOT PARTICULAR,A1,determiner,
a,ONE,A1,determiner,
a,ANY/EVERY,A1,determiner,
a,TYPE,A1,determiner,
about,SUBJECT,A1,preposition,communication
about,,A1,adverb,
above,HIGHER POSITION,A1,adverb,describing things
ad,,A1,noun,arts and media
address,BUILDING DETAILS,A1,noun,buildings
address,ELECTRONIC,A1,noun,technology
adult,,A1,noun,people: appearance
after,TIME/EVENT,A1,preposition,
afternoon,,A1,noun,
again,ONE MORE TIME,A1,adverb,
age,HOW OLD,A1,noun,
all,WHOLE TIME,A1,determiner,
all,EVERY ONE,A1,determiner,communication
all right,WITHOUT PROBLEMS,A1,adjective,
all right,,A1,exclamation,communication
a lot,,A1,phrase,describing things
a lot/lots,,A1,phrase,describing things
also,,A1,adverb,
always,EVERY TIME,A1,adverb,
a.m.,,A1,adverb,
an,,A1,determiner,
and,ALSO,A1,conjunction,communication
and,NUMBERS,A1,conjunction,
and,AFTER,A1,conjunction,communication
animal,NOT A HUMAN,A1,noun,animals
answer,REACTION,A1,noun,communication
answer,REACT,A1,verb,communication
any,SOME,A1,determiner,describing things
any,NOT IMPORTANT WHICH,A1,determiner,describing things
anything,NO MATTER WHICH,A1,pronoun,
anything,IN QUESTIONS/NEGATIVES,A1,pronoun,
apple,,A1,noun,food and drink
April,,A1,noun,
arm,BODY,A1,noun,body and health
as,JOB,A1,preposition,work
ask,QUESTION,A1,verb,communication
as well,,A1,phrase,communication
as well (as),,A1,phrase,
at,PLACE,A1,preposition,describing things
at,DIRECTION,A1,preposition,
at,TIME,A1,preposition,
at,E-MAIL ADDRESS,A1,preposition,"communication, technology"
August,,A1,noun,
baby,CHILD,A1,noun,people: appearance
back,RETURNING,A1,adverb,describing things
bad,UNPLEASANT,A1,adjective,describing things
bag,,A1,noun,shopping
ball,ROUND OBJECT,A1,noun,shopping
banana,,A1,noun,food and drink
band,,A1,noun,arts and media
bank,MONEY,A1,noun,money
baseball,,A1,noun,shopping
basketball,,A1,noun,shopping
bat,STICK,A1,noun,shopping
bath,,A1,noun,people: actions
bathroom,ROOM,A1,noun,buildings
be,POSITION,A1,verb,describing things
beach,,A1,noun,natural world
bean,,A1,noun,food and drink
beard,,A1,noun,people: appearance
beautiful,ATTRACTIVE,A1,adjective,people: appearance
beautiful,PLEASANT,A1,adjective,describing things
be called sth,,A1,phrase,
because,,A1,conjunction,communication
bed,FOR SLEEP,A1,noun,buildings
bedroom,,A1,noun,buildings
beer,,A1,noun,food and drink
before,EARLIER,A1,preposition,
begin,START TO HAPPEN,A1,verb,
behind,BACK,A1,preposition,describing things
below,POSITION,A1,adverb,describing things
best,BETTER THAN ALL,A1,adjective,describing things
best,MOST,A1,adverb,
better,HEALTHY,A1,adjective,body and health
better,HIGHER STANDARD,A1,adjective,describing things
between,SPACE,A1,preposition,describing things
between,TIME,A1,preposition,
between,INVOLVE,A1,preposition,shopping
be ... years old,,A1,phrase,people: appearance
big,SIZE,A1,adjective,describing things
bike,BICYCLE,A1,noun,travel
bird,,A1,noun,animals
birthday,,A1,noun,relationships
black,COLOR,A1,adjective,describing things
blouse,,A1,noun,clothes
blue,COLOR,A1,adjective,describing things
board,CLASSROOM,A1,noun,"education, buildings"
boat,,A1,noun,travel
body,PERSON,A1,noun,body and health
book,FOR READING,A1,noun,arts and media
bookcase,,A1,noun,buildings
bookstore,,A1,noun,shopping
boot,,A1,noun,clothes
boring,,A1,adjective,people: personality
both,,A1,determiner,
bottom,LOWEST PART,A1,noun,describing things
box,CONTAINER,A1,noun,shopping
boy,,A1,noun,people: appearance
bread,,A1,noun,food and drink
breakfast,,A1,noun,food and drink
brother,,A1,noun,relationships
brown,,A1,adjective,describing things
bus,,A1,noun,travel
business,SELLING,A1,noun,shopping
busy,PERSON,A1,adjective,work
busy,PLACE,A1,adjective,
but,,A1,conjunction,communication
butter,,A1,noun,food and drink
buy,,A1,verb,"money, shopping"
bye,,A1,exclamation,communication
café,,A1,noun,food and drink
cake,FOOD,A1,noun,food and drink
camera,,A1,noun,arts and media
can,ABILITY,A1,modal verb,people: actions
can,OFFER,A1,modal verb,communication
can,REQUEST,A1,modal verb,communication
can,POSSIBILITY,A1,modal verb,
cannot,,A1,modal verb,
car,ROAD,A1,noun,travel
carry,HOLD,A1,verb,people: actions
cat,,A1,noun,animals
catch,TAKE HOLD,A1,verb,people: actions
catch,TRAVEL,A1,verb,travel
CD,,A1,noun,technology
CD player,,A1,noun,technology
cell phone,,A1,noun,"communication, technology"
chair,,A1,noun,buildings
change,START SOMETHING NEW,A1,verb,people: actions
cheap,,A1,adjective,"money, shopping"
check,MARK,A1,verb,"communication, people: actions"
cheese,,A1,noun,food and drink
child,,A1,noun,"people: appearance, relationships"
chocolate,FOOD,A1,noun,food and drink
choose,,A1,verb,people: actions
city,,A1,noun,
class,TEACHING GROUP,A1,noun,education
class,LESSON,A1,noun,education
classroom,,A1,noun,"education, buildings"
clean,NOT DIRTY,A1,adjective,describing things
clean,REMOVE DIRT,A1,verb,people: actions
clock,,A1,noun,
close,DOOR/WINDOW,A1,verb,people: actions
close,NEAR,A1,adjective,describing things
closed,NOT OPEN,A1,adjective,
closed,BUSINESS/STORE,A1,adjective,shopping
clothes,,A1,noun,clothes
coat,,A1,noun,clothes
coffee,,A1,noun,food and drink
coffee shop,,A1,noun,food and drink
cold,TEMPERATURE,A1,adjective,"describing things, natural world"
color,APPEARANCE,A1,noun,describing things
color,APPEARANCE,A1,verb,people: actions
come,MOVE TO SPEAKER,A1,verb,people: actions
come,GO WITH SOMEONE,A1,verb,people: actions
come,ARRIVE,A1,verb,"people: actions, travel"
come from swh/sth,,A1,phrasal verb,
computer,,A1,noun,technology
conversation,,A1,noun,communication
cook,,A1,verb,"food and drink, people: actions"
country,POLITICAL UNIT,A1,noun,"natural world, politics"
course,CLASSES,A1,noun,education
cow,,A1,noun,animals
cracker,,A1,noun,food and drink
credit card,,A1,noun,"money, shopping"
cross,MARK,A1,noun,communication
cup,DRINKING CONTAINER,A1,noun,food and drink
dad,,A1,noun,relationships
dance,,A1,verb,"arts and media, people: actions"
dance,MOVING,A1,noun,"arts and media, people: actions"
dancing,,A1,noun,"arts and media, people: actions"
dark,NOT PALE,A1,adjective,describing things
date,PARTICULAR DAY,A1,noun,
daughter,,A1,noun,relationships
day,24 HOURS,A1,noun,
dear,IN LETTERS,A1,adjective,communication
December,,A1,noun,
desk,,A1,noun,buildings
dictionary,,A1,noun,education
die,STOP LIVING,A1,verb,
different,NOT THE SAME,A1,adjective,describing things
difficult,NOT EASY,A1,adjective,
dining room,,A1,noun,buildings
dinner,,A1,noun,food and drink
do,QUESTIONS/NEGATIVES,A1,auxiliary verb,
do,ACTION,A1,verb,people: actions
doctor,,A1,noun,"body and health, work"
dog,,A1,noun,animals
doll,,A1,noun,shopping
dollar,,A1,noun,money
Don't forget...,,A1,phrase,communication
Don't worry (about sth),,A1,phrase,communication
door,,A1,noun,buildings
"do the cleaning/cooking, etc.",,A1,phrase,people: actions
down,SURFACE,A1,adverb,describing things
draw,PICTURE,A1,verb,"arts and media, people: actions"
dress,,A1,noun,clothes
drink,LIQUID,A1,noun,food and drink
drink,LIQUID,A1,verb,"food and drink, people: actions"
drive,USE VEHICLE,A1,verb,"people: actions, travel"
DVD,,A1,noun,technology
each,,A1,pronoun,
each,,A1,determiner,
ear,BODY PART,A1,noun,body and health
early,BEGINNING,A1,adverb,
easy,,A1,adjective,
eat,SWALLOW FOOD,A1,verb,"food and drink, people: actions"
eat,HAVE MEAL,A1,verb,"food and drink, people: actions"
egg,FOOD,A1,noun,food and drink
eight,,A1,number,
eighteen,,A1,number,
eleven,,A1,number,
e-mail,SYSTEM,A1,noun,"communication, technology"
e-mail,MESSAGE,A1,noun,"communication, technology"
end,FINAL PART,A1,noun,
enjoy,PLEASURE,A1,verb,people: personality
eraser,,A1,noun,
evening,,A1,noun,
every,EACH,A1,determiner,describing things
every,HOW OFTEN,A1,determiner,
example,TYPICAL CASE,A1,noun,
excited,,A1,adjective,people: personality
exciting,,A1,adjective,people: personality
Excuse me,ATTRACTING ATTENTION,A1,phrase,communication
expensive,,A1,adjective,"money, shopping"
eye,BODY PART,A1,noun,body and health
face,HEAD,A1,noun,body and health
factory,,A1,noun,"buildings, work"
family,RELATED PEOPLE,A1,noun,relationships
famous,,A1,adjective,people: personality
farm,,A1,noun,buildings
fast,,A1,adjective,
fat,,A1,adjective,people: appearance
father,,A1,noun,relationships
favorite,,A1,adjective,people: personality
February,,A1,noun,
feel,EXPERIENCE,A1,verb,"body and health, people: personality"
fifteen,,A1,number,
find,DISCOVER WHEN SEARCHING,A1,verb,people: actions
fine,WELL,A1,adjective,body and health
finish,COMPLETE,A1,verb,people: actions
finish,END,A1,verb,
first,BEFORE,A1,adjective,
first,BEFORE,A1,adverb,
fish,ANIMAL,A1,noun,animals
fish,FOOD,A1,noun,food and drink
five,,A1,number,
floor,SURFACE,A1,noun,buildings
flower,,A1,noun,natural world
