Word,Level,Kanji,Hiragana,English
×,N2,×,ばつ,
あ,N4,,あ,Ah
ああ,N4,,ああ,like that
あい,N3,愛,あい,love
あいかわらず,N2,,あいかわらず,"as ever,as usual,the same"
あいさつ,N4,,あいさつ・する,to greet
あいじょう,N3,愛情,あいじょう,"love,affection"
あいする,N3,愛する,あいする,to love
あいず,N3,合図,あいず,"sign,signal"
あいそ,N1,愛想,あいそ,"civility, courtesy, compliments, sociability, graces"
あいたい,N1,相対,あいたい,"confrontation, facing, between ourselves, no third party, tete-a-tete"
あいだ,N4,間,あいだ,a space
あいだがら,N1,間柄,あいだがら,relation(ship)
あいて,N3,相手,あいて,"companion,partner,company"
あいにく,N3,,あいにく,"unfortunately,Sorry, but...."
あいま,N1,合間,あいま,interval
あいまい,N2,,あいまい,"vague,ambiguous"
あう,N5,会う,あう,to meet
あえて,N1,敢えて,あえて,"dare (to do), challenge (to do)"
あお,N5,青,あお,blue
あおい,N5,青い,あおい,blue
あおぐ,N2,扇ぐ,あおぐ,"to fan,to flap"
あおじろい,N2,青白い,あおじろい,"pale,pallid"
あか,N5,赤,あか,red
あかい,N5,赤い,あかい,red
あかがね,N1,銅,あかがね,copper
あかし,N1,証,あかし,"proof, evidence"
あかじ,N1,赤字,あかじ,"deficit, go in the red"
あかす,N1,明かす,あかす,"to pass, spend, to reveal, to divulge"
あかちゃん,N4,,あかちゃん,infant
あからさま,N1,明白,あからさま,"obvious, overt, plainly, frankly"
あからむ,N1,赤らむ,あからむ,"to become red, to redden, to blush"
あかり,N3,明かり,あかり,"lamplight,light (in general),brightness"
あかるい,N5,明い,あかるい,bright
あかんぼう,N4,赤ん坊,あかんぼう,baby
あがり,N1,上がり,あがり,"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after"
あがる,N4,上る,あがる,to rise
あき,N5,秋,あき,autumn
あきうど,N1,商人,あきうど,"trader, shopkeeper, merchant"
あきま,N1,空間,あきま,"vacancy, room for rent or lease"
あきらか,N3,明らか,あきらか,"obvious,evident,clear"
あきらめ,N1,諦め,あきらめ,"resignation, acceptance, consolation"
あきらめる,N3,諦める,あきらめる,"to give up,to abandon"
あきる,N3,飽きる,あきる,"to get tired of,to lose interest in,to have enough"
あきれる,N2,,あきれる,"to be amazed,to be shocked"
あく,N5,開く,あく,"to open, to become open"
あくしゅ,N3,握手,あくしゅ,handshake
あくどい,N1,,あくどい,"1. gaudy, showy, excessive, 2. vicious"
あくび,N2,,あくび,yawn
あくま,N3,悪魔,あくま,"devil,demon,evil spirit"
あくまで,N2,飽くまで,あくまで,"to the end,to the last,stubbornly"
あくる,N1,明くる,あくる,"next, following"
あけがた,N2,明け方,あけがた,dawn
あける,N5,開ける,あける,to open
あげる,N5,上げる,あげる,to give
あこがれ,N1,憧れ,あこがれ,"yearning, longing, aspiration"
あこがれる,N2,憧れる,あこがれる,"to long for,to yearn after,to admire"
あご,N1,顎,あご,chin
あさ,N5,朝,あさ,morning
あさい,N4,浅い,あさい,"shallow,superficial"
あさごはん,N5,朝御飯,あさごはん,breakfast
あさって,N5,,あさって,day after tomorrow
あさねぼう,N1,朝寝坊,あさねぼう,"oversleeping, late riser"
あさましい,N1,浅ましい,あさましい,"wretched, miserable, shameful, mean, despicable, abject"
あざ,N1,字,あざ,section of village
あざむく,N1,欺く,あざむく,to deceive
あざやか,N1,鮮やか,あざやか,"vivid, clear, brilliant"
あざわらう,N1,あざ笑う,あざわらう,"to sneer at, to ridicule"
あざ笑う,N1,あざ笑う,あざわらう,"to sneer at, to ridicule"
あし,N5,足,あし,"foot, leg"
あしあと,N2,足跡,あしあと,footprints
あした,N5,明日,あした,tomorrow
あじ,N4,味,あじ,flavour
あじわい,N1,味わい,あじわい,"flavour, meaning, significance"
あじわう,N2,味わう,あじわう,"to taste,to savor,to relish"
あす,N4,明日,あす,tomorrow
あずかる,N2,預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of"
あずける,N3,預ける,あずける,"to give into custody,to entrust,to deposit"
あずま,N1,東,あずま,"east, Eastern Japan"
あせ,N3,汗,あせ,"sweat,perspiration"
あせる,N1,焦る,あせる,"to be in a hurry, to be impatient"
あそこ,N5,,あそこ,over there
あそび,N4,遊び,あそび,play
あそぶ,N5,遊ぶ,あそぶ,"to play, to make a visit"
あたい,N1,値,あたい,"value, price, cost, worth, merit"
あたいする,N1,値する,あたいする,"to be worth, to deserve, to merit"
あたえる,N3,与える,あたえる,"to give,to present,to award"
あたし,N1,私,あたし,I (fem)
あたたか,N3,暖かい,あたたか(い),"warm,mild"
あたたかい,N5,暖かい,あたたかい,warm
あたたまる,N2,暖まる,あたたまる,"to warm up,to get warm"
あたためる,N2,暖める,あたためる,"to warm,to heat"
あたま,N5,頭,あたま,head
あたらしい,N5,新しい,あたらしい,new
あたり,N3,辺り,あたり,"vicinity,nearby"
あたりまえ,N2,,あたりまえ,"usual,common,ordinary"
あたる,N3,当たる,あたる,"to be hit,to be successful,to be equivalent to"
あだびと,N1,他人,あだびと,"another person, unrelated person, outsider, stranger"
あちこち,N3,,あちこち,here and there
あちら,N5,,あちら,there
あちらこちら,N2,,あちらこちら,here and there
あっ,N3,,あっ,"Ah!,Oh!"
あっか,N1,悪化,あっか,"deterioration, growing worse, aggravation, degeneration, corruption"
あっけない,N1,呆気ない,あっけない,"not enough, too quick (short long etc.)"
あっこう,N1,悪口,あっこう,"abuse, insult, slander, evil speaking"
あっさり,N1,,あっさり,"easily, readily, quickly"
あっしゅく,N2,圧縮,あっしゅく,"compression,condensation,pressure"
あっち,N5,,あっち,over there
あっぱく,N1,圧迫,あっぱく,"pressure, coercion, oppression"
あつい,N5,暑い,あつい,hot
あつかい,N1,扱い,あつかい,"treatment, service"
あつかう,N3,扱う,あつかう,"to handle,to deal with,to treat"
あつかましい,N2,厚かましい,あつかましい,"impudent,shameless,brazen"
あつまり,N3,集まり,あつまり,"gathering,meeting,assembly,collection"
あつまる,N4,集る,あつまる,to gather
あつめる,N4,集める,あつめる,to collect something
あつらえる,N1,誂える,あつらえる,"to give an order, to place an order"
あつりょく,N1,圧力,あつりょく,"stress, pressure"
あて,N1,当て,あて,"object, aim, end, hopes, expectations"
あてじ,N1,当て字,あてじ,"phonetic-equivalent character, substitute character"
あてな,N2,宛名,あてな,"address,direction"
あてはまる,N2,,あてはまる,"to be applicable,to come under (a category),to fulfill"
あてはめる,N2,,あてはめる,"to apply,to adapt"
あてる,N3,当てる,あてる,"to hit,to apply a patch"
あと,N5,後,あと,afterwards
あとつぎ,N1,跡継ぎ,あとつぎ,"heir, successor"
あとまわし,N1,後回し,あとまわし,"putting off, postponing"
あな,N3,穴,あな,hole
あなた,N5,,あなた,you
あに,N5,兄,あに,(humble) older brother
あね,N5,姉,あね,(humble) older sister
あの,N5,,あの,that over there
あばれる,N2,暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous"
あひら,N2,あひら,あひら,
あびる,N5,,あびる,"to bathe, to shower"
あふれる,N2,,あふれる,"to flood,to overflow,to brim over"
あぶない,N5,危ない,あぶない,dangerous
あぶら,N3,油,あぶら,oil
あぶらえ,N1,油絵,あぶらえ,oil painting
あぶる,N2,,あぶる,to scorch
あべこべ,N1,,あべこべ,"contrary, opposite, inverse"
あまい,N5,甘い,あまい,sweet
あまえる,N1,甘える,あまえる,"to behave like a spoiled child, to fawn on"
あまくち,N1,甘口,あまくち,"sweet flavour, mildness, flattery, stupidity"
あまぐ,N1,雨具,あまぐ,rain gear
あまつ,N1,天,あまつ,"heavenly, imperial"
あまど,N2,雨戸,あまど,sliding storm door
あまやかす,N2,甘やかす,あまやかす,"to pamper,to spoil"
あまり,N5,,あまり,not very
あまる,N2,余る,あまる,"to remain,to be left over,to be in excess,to be too many"
あみ,N1,網,あみ,"net, network"
