Word,Level
〇,HSK1
一,HSK1
一一,HSK7-9
一下儿,HSK1
一下子,HSK5
一不小心,HSK7-9
一个劲儿,HSK7-9
一举,HSK7-9
一举一动,HSK7-9
一事无成,HSK7-9
一些,HSK1
一代,HSK6
一会儿,HSK1
一体,HSK7-9
一共,HSK2
一再,HSK4
一切,HSK3
一刹那,HSK7-9
一动不动,HSK7-9
一半,HSK1
一卡通,HSK7-9
一口气,HSK5
一句话,HSK5
一同,HSK6
一向,HSK5
一味,HSK7-9
一回事,HSK7-9
一块儿,HSK1
一塌糊涂,HSK7-9
一声不吭,HSK7-9
一大早,HSK7-9
一天到晚,HSK7-9
一头,HSK7-9
一如既往,HSK7-9
一定,HSK2
一家人,HSK7-9
一帆风顺,HSK7-9
一带,HSK5
一干二净,HSK7-9
一年到头,HSK7-9
一应俱全,HSK7-9
一度,HSK7-9
一律,HSK4
一心,HSK7-9
一心一意,HSK7-9
一成不变,HSK7-9
一手,HSK7-9
一技之长,HSK7-9
一把手,HSK7-9
一揽子,HSK7-9
一方面,HSK3
一旁,HSK7-9
一无所有,HSK7-9
一无所知,HSK7-9
一旦,HSK5
一早,HSK7-9
一时,HSK6
一晃,HSK7-9
一样,HSK1
一概,HSK7-9
一概而论,HSK7-9
一模一样,HSK6
一次性,HSK6
一毛不拔,HSK7-9
一流,HSK5
一点儿,HSK1
一点点,HSK2
一生,HSK2
一番,HSK6
一目了然,HSK7-9
一直,HSK2
一眼,HSK7-9
一瞬间,HSK7-9
一筹莫展,HSK7-9
一系列,HSK7-9
一线,HSK7-9
一经,HSK7-9
一致,HSK4
一般,HSK2
一般来说,HSK4
一行,HSK6
一言一行,HSK7-9
一言不发,HSK7-9
一贯,HSK6
一起,HSK1
一路,HSK5
一路上,HSK6
一路平安,HSK2
一路顺风,HSK2
一身,HSK5
一辈子,HSK5
一边,HSK1
一连,HSK7-9
一连串,HSK7-9
一道,HSK6
一部分,HSK2
一锅粥,HSK7-9
一长一短,HSK7-9
一阵,HSK7-9
一面,HSK7-9
一鼓作气,HSK7-9
一齐,HSK6
丁,HSK7-9
七,HSK1
七嘴八舌,HSK7-9
万,HSK2
万一,HSK4
万万,HSK7-9
万分,HSK7-9
万古长青,HSK7-9
万无一失,HSK7-9
万能,HSK7-9
丈夫,HSK4
三,HSK1
三明治,HSK6
三番五次,HSK7-9
三维,HSK7-9
三角,HSK7-9
上,HSK1
上下,HSK5
上个月,HSK4
上任,HSK7-9
上升,HSK3
上午,HSK1
上去,HSK3
上台,HSK6
上司,HSK7-9
上周,HSK2
上场,HSK7-9
上头,HSK7-9
上学,HSK1
上岗,HSK7-9
上市,HSK6
上帝,HSK6
上当,HSK6
上报,HSK7-9
上方,HSK7-9
上旬,HSK7-9
上映,HSK7-9
上期,HSK7-9
上来,HSK3
上楼,HSK4
上次,HSK1
上流,HSK7-9
上涨,HSK5
上游,HSK7-9
上演,HSK6
上火,HSK7-9
上班,HSK1
上瘾,HSK7-9
上空,HSK7-9
上级,HSK5
上网,HSK1
上衣,HSK3
上诉,HSK7-9
上课,HSK1
上调,HSK7-9
上车,HSK1
上边,HSK1
上述,HSK7-9
上门,HSK4
上限,HSK7-9
上面,HSK3
下,HSK1
下一代,HSK7-9
下个月,HSK4
下乡,HSK7-9
下令,HSK7-9
下决心,HSK7-9
下功夫,HSK7-9
下午,HSK1
下去,HSK3
下台,HSK7-9
下周,HSK2
下场,HSK7-9
下坠,HSK7-9
下属,HSK7-9
下山,HSK7-9
下岗,HSK7-9
下意识,HSK7-9
下手,HSK7-9
下旬,HSK7-9
下期,HSK7-9
下来,HSK3
下棋,HSK7-9
下楼,HSK4
下次,HSK1
下海,HSK7-9
下游,HSK7-9
下班,HSK1
下级,HSK7-9
下落,HSK7-9
下课,HSK1
下调,HSK7-9
下跌,HSK7-9
下车,HSK1
下载,HSK4
下边,HSK1
下降,HSK4
下雨,HSK1
下雪,HSK2
下面,HSK3
不,HSK1
不一会儿,HSK2
不一定,HSK2
不为人知,HSK7-9
不久,HSK2
不了了之,HSK7-9
不予,HSK7-9
不亚于,HSK7-9
不亦乐乎,HSK7-9
不仅,HSK3
不仅仅,HSK6
不以为然,HSK7-9
不但,HSK2
不便,HSK6
不值,HSK6
不假思索,HSK7-9
不停,HSK5
不像话,HSK7-9
不光,HSK3
不免,HSK5
不再,HSK6
不准,HSK7-9
不利,HSK5
不利于,HSK7-9
不可思议,HSK7-9
不可避免,HSK7-9
不同,HSK2
不同寻常,HSK7-9
不在乎,HSK4
不堪,HSK7-9
不够,HSK2
不大,HSK1
不太,HSK2
不好意思,HSK2
不如,HSK2
不如说,HSK7-9
不妨,HSK7-9
不安,HSK3
不定,HSK7-9
不宜,HSK7-9
不客气,HSK1
不容,HSK7-9
不对,HSK1
不少,HSK2
不屑,HSK7-9
不已,HSK7-9
不平,HSK7-9
不幸,HSK5
不得不,HSK3
不得了,HSK5
不得已,HSK7-9
不得而知,HSK7-9
不必,HSK3
不怎么,HSK6
不怎么样,HSK6
不惜,HSK7-9
不慎,HSK7-9
不懈,HSK7-9
不成,HSK6
不敢当,HSK5
不料,HSK6
不断,HSK3
不时,HSK5
不易,HSK5
不景气,HSK7-9
不曾,HSK5
不服,HSK7-9
不服气,HSK7-9
不止,HSK5
不正之风,HSK7-9
不满,HSK2
不然,HSK4
不理,HSK7-9
不用,HSK1
不用说,HSK7-9
不由得,HSK7-9
不由自主,HSK7-9
不相上下,HSK7-9
不知,HSK7-9
不知不觉,HSK7-9
不禁,HSK6
不算,HSK7-9
不管,HSK4
不约而同,HSK7-9
不经意,HSK7-9
不翼而飞,HSK7-9
不耐烦,HSK5
不耻下问,HSK7-9
不肯,HSK7-9
不能不,HSK5
不至于,HSK6
不良,HSK5
不行,HSK2
不要,HSK2
不要紧,HSK4
不见,HSK6
不见得,HSK7-9
不解,HSK7-9
不许,HSK5
不论,HSK3
不起眼,HSK7-9
不足,HSK5
不辞而别,HSK7-9
不过,HSK2
不适,HSK7-9
不通,HSK6
不错,HSK2
不难,HSK7-9
不顾,HSK5
与,HSK6
与众不同,HSK7-9
与其,HSK7-9
与否,HSK7-9
与日俱增,HSK7-9
与时俱进,HSK7-9
与此同时,HSK7-9
丑,HSK5
丑恶,HSK7-9
丑闻,HSK7-9
丑陋,HSK7-9
专业,HSK3
专人,HSK7-9
专利,HSK5
专制,HSK7-9
专卖店,HSK7-9
专家,HSK3
专心,HSK4
专柜,HSK7-9
专栏,HSK7-9
专注,HSK7-9
专用,HSK6
专程,HSK7-9
专职,HSK7-9
专著,HSK7-9
专辑,HSK5
专长,HSK7-9
专门,HSK3
专题,HSK3
且,HSK7-9
世代,HSK7-9
世故,HSK7-9
世界,HSK3
世界杯,HSK3
世界级,HSK7-9
世纪,HSK3
世袭,HSK7-9
丘陵,HSK7-9
丙,HSK7-9
业,HSK7-9
业余,HSK4
业务,HSK5
业绩,HSK7-9
丛林,HSK7-9
东,HSK1
东北,HSK2
东南,HSK2
东奔西走,HSK7-9
东张西望,HSK7-9
东方,HSK2
东西,HSK1
东边,HSK1
东道主,HSK7-9
东部,HSK3
丝,HSK7-9
